[2021-06-30 20:41:19]	Connected: Socket[addr=/216.106.142.65,port=59013,localport=10000]
[2021-06-30 20:41:19]		Key Accepted
[2021-06-30 20:41:19]		No commands to send
[2021-06-30 20:41:19]	Closed: Socket[addr=/216.106.142.65,port=59013,localport=10000]
[2021-06-30 20:41:29]	Connected: Socket[addr=/216.106.142.65,port=59021,localport=10000]
[2021-06-30 20:41:29]		Key Accepted
[2021-06-30 20:41:29]		No commands to send
[2021-06-30 20:41:29]	Closed: Socket[addr=/216.106.142.65,port=59021,localport=10000]
[2021-06-30 20:41:39]	Connected: Socket[addr=/216.106.142.65,port=59023,localport=10000]
[2021-06-30 20:41:40]		Key Accepted
[2021-06-30 20:41:40]		No commands to send
[2021-06-30 20:41:40]	Closed: Socket[addr=/216.106.142.65,port=59023,localport=10000]
[2021-06-30 20:44:22]	Connected: Socket[addr=/216.106.142.65,port=50976,localport=10000]
[2021-06-30 20:44:23]		Key Accepted
[2021-06-30 20:44:23]		No commands to send
[2021-06-30 20:44:23]	Closed: Socket[addr=/216.106.142.65,port=50976,localport=10000]
[2021-06-30 20:45:23]	Connected: Socket[addr=/216.106.142.65,port=64117,localport=10000]
[2021-06-30 20:45:23]		Key Accepted
[2021-06-30 20:45:23]		No commands to send
[2021-06-30 20:45:23]	Closed: Socket[addr=/216.106.142.65,port=64117,localport=10000]
[2021-06-30 20:46:23]	Connected: Socket[addr=/216.106.142.65,port=60519,localport=10000]
[2021-06-30 20:46:23]		Key Accepted
[2021-06-30 20:46:23]		No commands to send
[2021-06-30 20:46:23]	Closed: Socket[addr=/216.106.142.65,port=60519,localport=10000]
[2021-06-30 20:47:23]	Connected: Socket[addr=/216.106.142.65,port=54659,localport=10000]
[2021-06-30 20:47:23]		Key Accepted
[2021-06-30 20:47:23]		No commands to send
[2021-06-30 20:47:23]	Closed: Socket[addr=/216.106.142.65,port=54659,localport=10000]
[2021-06-30 20:48:23]	Connected: Socket[addr=/216.106.142.65,port=54665,localport=10000]
[2021-06-30 20:48:24]		Key Accepted
[2021-06-30 20:48:24]		No commands to send
[2021-06-30 20:48:24]	Closed: Socket[addr=/216.106.142.65,port=54665,localport=10000]
[2021-06-30 20:49:24]	Connected: Socket[addr=/216.106.142.65,port=59055,localport=10000]
[2021-06-30 20:49:24]		Key Accepted
[2021-06-30 20:49:24]		No commands to send
[2021-06-30 20:49:24]	Closed: Socket[addr=/216.106.142.65,port=59055,localport=10000]
[2021-06-30 20:50:24]	Connected: Socket[addr=/216.106.142.65,port=59065,localport=10000]
[2021-06-30 20:50:24]		Key Accepted
[2021-06-30 20:50:24]		No commands to send
[2021-06-30 20:50:24]	Closed: Socket[addr=/216.106.142.65,port=59065,localport=10000]
[2021-06-30 20:51:24]	Connected: Socket[addr=/216.106.142.65,port=60022,localport=10000]
[2021-06-30 20:51:24]		Key Accepted
[2021-06-30 20:51:24]		No commands to send
[2021-06-30 20:51:24]	Closed: Socket[addr=/216.106.142.65,port=60022,localport=10000]
[2021-06-30 20:52:24]	Connected: Socket[addr=/216.106.142.65,port=49322,localport=10000]
[2021-06-30 20:52:25]		Key Accepted
[2021-06-30 20:52:25]		No commands to send
[2021-06-30 20:52:25]	Closed: Socket[addr=/216.106.142.65,port=49322,localport=10000]
[2021-06-30 20:53:25]	Connected: Socket[addr=/216.106.142.65,port=59422,localport=10000]
[2021-06-30 20:53:25]		Key Accepted
[2021-06-30 20:53:25]		No commands to send
[2021-06-30 20:53:25]	Closed: Socket[addr=/216.106.142.65,port=59422,localport=10000]
[2021-06-30 20:54:08] Connection Closed
----------------------------------------
[2021-07-01 13:58:23] Connection Opened (port 10000)
[2021-07-01 13:58:41] Connection Closed
----------------------------------------
[2021-07-01 14:03:52] Connection Opened (port 10000)
[2021-07-01 14:06:22] Connection Closed
----------------------------------------
[2021-07-01 14:06:35] Connection Opened (port 10000)
[2021-07-01 14:06:57] Connection Closed
----------------------------------------
[2021-07-01 14:15:06] Connection Opened (port 10000)
[2021-07-01 14:44:44]	Connected: Socket[addr=/216.106.142.65,port=61557,localport=10000]
[2021-07-01 14:44:45]		Key Accepted
[2021-07-01 14:44:45]		No commands to send
[2021-07-01 14:44:45]	Closed: Socket[addr=/216.106.142.65,port=61557,localport=10000]
[2021-07-01 14:45:28]	Connected: Socket[addr=/216.106.142.65,port=61582,localport=10000]
[2021-07-01 14:45:28]		Socket sent invalid key
[2021-07-01 14:45:28]	Closed: Socket[addr=/216.106.142.65,port=61582,localport=10000]
[2021-07-01 14:45:49]	Connected: Socket[addr=/216.106.142.65,port=61594,localport=10000]
[2021-07-01 14:45:49]		Key Accepted
[2021-07-01 14:45:49]		No commands to send
[2021-07-01 14:45:49]	Closed: Socket[addr=/216.106.142.65,port=61594,localport=10000]
[2021-07-01 14:56:31]	Connected: Socket[addr=/216.106.142.65,port=63010,localport=10000]
[2021-07-01 14:56:31]		Key Accepted
[2021-07-01 14:56:31]		Commands sent
[2021-07-01 14:56:32]		Results received
[2021-07-01 14:56:32]		Results received
[2021-07-01 14:56:33]		Results received
[2021-07-01 14:56:33]	Closed: Socket[addr=/216.106.142.65,port=63010,localport=10000]
